,Made Donation in March 2007
659,0.5007828824180968
276,0.5018678644274006
263,0.5020119742743179
303,0.501211288893588
83,0.5007283795880341
500,0.5007499335128245
530,0.5019925764571843
244,0.5024001692813966
249,0.5023691184734006
728,0.5015542033369085
129,0.5019589605976487
534,0.5013349171094197
317,0.50118419861564
401,0.5020119742743179
696,0.5007104036336345
192,0.502283711061808
176,0.5013099401271075
571,0.5010112669007326
139,0.5020247604294581
423,0.5006446640794993
563,0.5005400420999309
56,0.500744335108187
528,0.500778209803702
101,0.5020119742743179
467,0.5007014090094553
382,0.5013053769418304
466,0.5005324284556937
294,0.5024001692813966
512,0.5007545953328326
659,0.5007828824180968
389,0.5012683069424478
487,0.5020317369888307
701,0.5019343349668525
419,0.5009689352142994
536,0.5009411647124884
240,0.5012648625403884
508,0.5008184814665855
515,0.5024001692813966
283,0.5007004016576313
650,0.5020119742743179
65,0.5010117672186503
228,0.5015758541354414
741,0.5017279002969116
297,0.5005230535739498
464,0.5015276394853196
63,0.5019343349668525
231,0.5007809368028472
28,0.5014934969356595
248,0.5024001692813966
357,0.5015359990554711
300,0.500842111732026
726,0.5012388704713702
680,0.5016799338416793
520,0.5007781976019746
254,0.5021369672377509
582,0.5012554603550223
143,0.5011186623996102
98,0.5008817639589045
1,0.5006317712889953
221,0.500925813092931
352,0.5020119742743179
64,0.50135693084686
138,0.501427390892965
745,0.5010715695411108
64,0.50135693084686
688,0.501810524628608
623,0.5013417520560115
289,0.5017756127095883
174,0.5010033538132361
690,0.5020119742743179
105,0.5012389613495611
427,0.5018752186449589
48,0.5033318246014846
14,0.5020119742743179
657,0.501933713698733
301,0.501351888652624
455,0.5015716508428418
579,0.5011794203491746
722,0.5016245252714973
98,0.5008817639589045
491,0.5033318246014846
303,0.501211288893588
466,0.5005324284556937
65,0.5010117672186503
300,0.500842111732026
9,0.5026719040925041
622,0.502283711061808
323,0.5018359015634375
289,0.5017756127095883
568,0.5005341983622895
290,0.5020119742743179
156,0.5010995722694492
464,0.5015276394853196
426,0.5023876691500668
306,0.5015225586054562
4,0.5012114399871554
12,0.5006941271164977
187,0.5012833645653089
406,0.5018786546766502
96,0.5019925764571843
509,0.5019343349668525
733,0.5013152547671177
548,0.5019785465391142
478,0.5009617881340227
501,0.5017185834676494
127,0.500508370310004
199,0.5016403275557231
299,0.5007494555882293
162,0.5020119742743179
235,0.5019876249432556
23,0.5014509473370703
473,0.5020119742743179
487,0.5020317369888307
683,0.5006950117369525
303,0.501211288893588
309,0.5019867057629723
569,0.5027495423270767
34,0.5006967241602447
686,0.5007644494830616
84,0.5005676458501207
733,0.5013152547671177
537,0.5006887410232932
181,0.5012579702609551
453,0.5010115218632472
67,0.500784735204397
161,0.501132156865636
307,0.5008467857670278
703,0.5022230475287488
181,0.5012579702609551
246,0.5023218205616606
316,0.5006111562334421
278,0.502283711061808
346,0.5017624870915989
545,0.5020119742743179
419,0.5009689352142994
694,0.5019925764571843
622,0.502283711061808
663,0.5016193203577268
262,0.500569240097833
461,0.5013491299426232
373,0.5011286049419297
233,0.5020119742743179
466,0.5005324284556937
207,0.5011186623996102
263,0.5020119742743179
16,0.5027495423270767
513,0.5021171314960216
449,0.500738217115858
429,0.502004984594719
701,0.5019343349668525
632,0.5019839662361015
529,0.5004855997596465
245,0.5012284687955081
344,0.501537373120557
353,0.5021081416195763
241,0.5013208829635243
633,0.5024778079505556
624,0.5019343349668525
726,0.5012388704713702
189,0.502283711061808
138,0.501427390892965
402,0.5024001692813966
511,0.5006892705744537
590,0.5014068644375866
334,0.500898512905918
447,0.5016113200777661
119,0.5005324284556937
389,0.5012683069424478
644,0.5020119742743179
423,0.5006446640794993
131,0.5027495423270767
405,0.5034094615897049
82,0.5020119742743179
643,0.501402324224139
156,0.5010995722694492
617,0.5019364727336495
574,0.5005598286760551
272,0.5013111873283381
613,0.5014602761188791
545,0.5020119742743179
685,0.5024001692813966
570,0.5012463228291465
537,0.5006887410232932
691,0.5024778079505556
85,0.5010828700639396
483,0.5023218205616606
455,0.5015716508428418
93,0.502283711061808
744,0.5019343349668525
33,0.5023218205616606
321,0.5009679001712255
523,0.5009079718658894
426,0.5023876691500668
196,0.5016076688635666
301,0.501351888652624
103,0.5024778079505556
224,0.5024228562332762
454,0.5019022425879984
585,0.5023683798093184
154,0.5010167185405152
